,columns,data
0,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD"
1,nomor so,UMP-BP-0125/00002
3,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD"
4,nomor so,UMP-BP-0225/00032
5,supplier name,"JIANGYIN PINJIA METAL MATERIAL CO.,LTD (RMB)"
6,currency,Chinese Yuan Renminbi
7,nomor so,UMP-BP-0225/00048
8,nomor so,UMP-BP-0225/00049
9,nomor so,UMP-BP-0325/00055
10,nomor so,UMP-BP-0325/00058
13,nomor so,UMP-BP-0325/00059
14,nomor so,UMP-BP-0325/00060
15,nomor so,UMP-BP-0325/00061
16,nomor so,UMP-BP-0325/00062
17,nomor so,UMP-BP-0325/00063
18,nomor so,UMP-BP-0325/00064
19,nomor so,UMP-BP-0325/00065
20,nomor so,UMP-BP-0325/00066
21,nomor so,UMP-BP-0325/00067
