,columns,data
0,item code,GWC09N1A
1,item name,GWC09N1A
2,item code,GWC05N1A
3,item name,GWC05N1A
4,item code,MATERIAL
5,item name,MATERIAL
6,item code,CSCUJ28FFP8
7,item name,CSCUJ28FFP8
14,supplier name,"JIANGYIN XUNYU ALLOY MATERIALS CO.,LTD"
20,item code,PIP3858
21,item name,PIP3858
28,item code,GCFCIRCOOL14L
29,item name,GCFCIRCOOL14L
30,item code,4900593
31,item name,4900593
32,item code,BAC120FR3
33,item name,BAC120FR3
34,item code,PC4NUDMAN
35,item name,PC4NUDMAN
47,item code,55Q6N
48,item name,55Q6N
