,Nomor SO,Nomor Dokumen,Customer,Date,Currency,Kurs,Received Amount,Cash/Bank,Catatan
2025-03-03,PO.2025.03.00007,UMP-BP-0325/00052,PT MIDEA PLANET INDONESIA,03/03/2025,IDR,1.0,8697990.0,,
2025-03-04,PO.2025.03.00030,UMP-BP-0325/00054,PT FLIFE TECHNOLOGIES INDONESIA,04/03/2025,IDR,1.0,20791980.0,,
2025-03-08,PO.2025.03.00048,UMP-BP-0325/00057,PT JATIM WATKORAYA,08/03/2025,IDR,1.0,5155458.0,,
2025-03-10,,UMP-BP-0325/00059,PT MIDEA PLANET INDONESIA,10/03/2025,IDR,1.0,18122160.0,,
2025-03-11,,UMP-BP-0325/00061,PT MIDEA PLANET INDONESIA,11/03/2025,IDR,1.0,57924580.0,,
2025-03-12,,UMP-BP-0325/00062,PT GOBEL DHARMA NUSANTARA,12/03/2025,IDR,1.0,1733400.0,,
2025-03-13,,UMP-BP-0325/00063,PT MIDEA PLANET INDONESIA,13/03/2025,IDR,1.0,128638115.0,,
2025-03-14,,UMP-BP-0325/00064,PT FLIFE TECHNOLOGIES INDONESIA,14/03/2025,IDR,1.0,9293130.0,,
2025-03-17,,UMP-BP-0325/00066,PT FLIFE TECHNOLOGIES INDONESIA,17/03/2025,IDR,1.0,20162340.0,,
2025-03-18,,UMP-BP-0325/00067,PT MIDEA PLANET INDONESIA,18/03/2025,IDR,1.0,52984880.0,,
