,Nomor SO,Nomor Dokumen,Customer,Date,Currency,Kurs,Received Amount,Cash/Bank,Catatan
0,PO.2024.12.00198,UMP-BP-0125/00001,,02/01/2025,USD,16285.0,704.0,,
1,,UMP-BP-0125/00002,CHANGZHOU JIAHAO REFRIGERATION EQUIPMENT CO LTD,06/01/2025,USD,16210.0,18961.0,,
2,PO.2025.01.00015,UMP-BP-0125/00003,PT SUMBER MANDIRI SURABAYA,06/01/2025,IDR,1.0,489999.0,,
3,PO.2025.01.00014,UMP-BP-0125/00004,PT PANASONIC GOBEL INDONESIA,08/01/2025,IDR,1.0,1000000000.0,,
4,PO.2025.01.00014,UMP-BP-0125/00005,PT PANASONIC GOBEL INDONESIA,08/01/2025,IDR,1.0,89340125.0,,
5,PO.2025.01.00028,UMP-BP-0125/00006,PT MIDEA PLANET INDONESIA,09/01/2025,IDR,1.0,286199736.0,,
6,PO.2025.01.00049,UMP-BP-0125/00007,PT FLIFE TECHNOLOGIES INDONESIA,11/01/2025,IDR,1.0,11539440.0,,
7,PO.2025.01.00057,UMP-BP-0125/00008,PT SUMBER MANDIRI SURABAYA,13/01/2025,IDR,1.0,1469999.0,,
8,PO.2025.01.00047,UMP-BP-0125/00009,PT PANASONIC GOBEL INDONESIA,13/01/2025,IDR,1.0,871118010.0,,
9,PO.2025.01.00064,UMP-BP-0125/00010,PT JATIM WATKORAYA,13/01/2025,IDR,1.0,35475925.0,,
10,PO.2025.01.00044,UMP-BP-0125/00011,PT MIDEA PLANET INDONESIA,15/01/2025,IDR,1.0,87662780.0,,
11,PO.2025.01.00053,UMP-BP-0125/00012,PT MIDEA PLANET INDONESIA,15/01/2025,IDR,1.0,47323390.0,,
12,PO.2025.01.00055,UMP-BP-0125/00013,PT GENERGY GLOBAL INDONESIA,15/01/2025,IDR,1.0,17400000.0,,
13,PO.2025.01.00091,UMP-BP-0125/00014,PT JATIM WATKORAYA,17/01/2025,IDR,1.0,6503860.0,,
14,PO.2025.01.00090,UMP-BP-0125/00015,PT PANASONIC GOBEL INDONESIA,20/01/2025,IDR,1.0,753024000.0,,
15,PO.2025.01.00024,UMP-BP-0125/00016,PT MIDEA PLANET INDONESIA,21/01/2025,IDR,1.0,119000570.0,,
16,PO.2025.01.00108,UMP-BP-0125/00017,PT FLIFE TECHNOLOGIES INDONESIA,21/01/2025,IDR,1.0,29036700.0,,
17,PO.2025.01.00024,UMP-BP-0125/00018,PT MIDEA PLANET INDONESIA,24/01/2025,IDR,1.0,124343225.0,,
18,PO.2025.01.00136,UMP-BP-0125/00019,PT JATIM WATKORAYA,28/01/2025,IDR,1.0,5155459.0,,
19,PO.2024.12.00198,UMP-BP-0125/00020,,30/01/2025,USD,16255.0,25186.9,,
20,PO.2025.01.00139,UMP-BP-0125/00021,,30/01/2025,USD,16259.0,126136.9,,
21,PO.2025.01.00116,UMP-BP-0125/00022,PT MIDEA PLANET INDONESIA,30/01/2025,IDR,1.0,43114655.0,,
22,PO.2025.01.00024,UMP-BP-0225/00023,PT MIDEA PLANET INDONESIA,04/02/2025,IDR,1.0,333839464.0,,
23,PO.2025.02.00008,UMP-BP-0225/00024,PT FLIFE TECHNOLOGIES INDONESIA,05/02/2025,IDR,1.0,36109168.0,,
24,PO.2025.01.00044,UMP-BP-0225/00025,PT MIDEA PLANET INDONESIA,07/02/2025,IDR,1.0,148877340.0,,
25,PO.2025.01.00028,UMP-BP-0225/00026,PT MIDEA PLANET INDONESIA,07/02/2025,IDR,1.0,33773755.0,,
26,PO.2025.02.00035,UMP-BP-0225/00027,PT FLIFE TECHNOLOGIES INDONESIA,07/02/2025,IDR,1.0,461815.0,,
27,PO.2025.01.00024,UMP-BP-0225/00028,PT MIDEA PLANET INDONESIA,10/02/2025,IDR,1.0,133247920.0,,
28,PO.2025.02.00033,UMP-BP-0225/00029,PT MIDEA PLANET INDONESIA,10/02/2025,IDR,1.0,22713520.0,,
29,PO.2025.02.00050,UMP-BP-0225/00030,PT FLIFE TECHNOLOGIES INDONESIA,10/02/2025,IDR,1.0,9447728.0,,
30,PO.2025.02.00050,UMP-BP-0225/00031,PT FLIFE TECHNOLOGIES INDONESIA,10/02/2025,IDR,1.0,122048.0,,
31,,UMP-BP-0225/00032,,11/02/2025,,2241.06,40852.0,,
32,PO.2025.02.00055,UMP-BP-0225/00033,PT SUMBER MANDIRI SURABAYA,11/02/2025,IDR,1.0,1080000.0,,
33,PO.2025.02.00064,UMP-BP-0225/00034,PT JATIM WATKORAYA,12/02/2025,IDR,1.0,3415470.0,,
34,PO.2025.02.00063,UMP-BP-0225/00035,PT SUMBER MANDIRI SURABAYA,12/02/2025,IDR,1.0,980000.0,,
35,PO.2025.02.00033,UMP-BP-0225/00036,PT MIDEA PLANET INDONESIA,12/02/2025,IDR,1.0,95360500.0,,
36,PO.2025.02.00067,UMP-BP-0225/00037,PT JATIM WATKORAYA,12/02/2025,IDR,1.0,5155459.0,,
37,PO.2025.01.00024,UMP-BP-0225/00038,PT MIDEA PLANET INDONESIA,14/02/2025,IDR,1.0,34474808.0,,
38,PO.2025.02.00062,UMP-BP-0225/00039,PT PANASONIC GOBEL INDONESIA,18/02/2025,IDR,1.0,1000000000.0,,
39,PO.2025.02.00062,UMP-BP-0225/00040,PT PANASONIC GOBEL INDONESIA,18/02/2025,IDR,1.0,84039875.0,,
40,PO.2025.01.00044,UMP-BP-0225/00041,PT MIDEA PLANET INDONESIA,19/02/2025,IDR,1.0,25817710.0,,
41,PO.2025.01.00028,UMP-BP-0225/00042,PT MIDEA PLANET INDONESIA,20/02/2025,IDR,1.0,98669191.0,,
42,PO.2025.02.00137,UMP-BP-0225/00043,PT SUMBER MANDIRI SURABAYA,25/02/2025,IDR,1.0,1175999.0,,
43,PO.2025.02.00128,UMP-BP-0225/00044,PT MIDEA PLANET INDONESIA,26/02/2025,IDR,1.0,234065850.0,,
44,PO.2025.02.00130,UMP-BP-0225/00045,PT MIDEA PLANET INDONESIA,26/02/2025,IDR,1.0,605271800.0,,
45,PO.2025.02.00129,UMP-BP-0225/00046,PT MIDEA PLANET INDONESIA,26/02/2025,IDR,1.0,516030300.0,,
46,PO.2025.02.00153,UMP-BP-0225/00047,PT JATIM WATKORAYA,27/02/2025,IDR,1.0,15305142.0,,
47,,UMP-BP-0225/00048,CHANGZHOU JIAHAO REFRIGERATION EQUIPMENT CO LTD,27/02/2025,USD,16407.0,44243.02,,
48,,UMP-BP-0225/00049,CHANGZHOU JIAHAO REFRIGERATION EQUIPMENT CO LTD,27/02/2025,USD,16525.0,0.18,,
