,Nomor SO,Nomor Dokumen,Customer,Date,Currency,Kurs,Received Amount,Cash/Bank,Catatan
2025-01-02,SO.2025.01.00112,UM-BP-0125/00003,CUST-2025-26137,02/01/2025,IDR,1,4375000,,
2025-01-03,SO.2025.01.00203,UM-BP-0125/00009,CUST-2025-13809,03/01/2025,IDR,1,6379000,,
2025-01-04,SO.2025.01.00257,UM-BP-0125/00010,CUST-2025-17189,04/01/2025,IDR,1,7645000,,
2025-01-05,SO.2025.01.00284,UM-BP-0125/00013,CUST-2025-10875,05/01/2025,IDR,1,4550000,,
2025-01-06,SO.2024.11.01279,UM-BP-0125/00018,CUST-2025-26013,06/01/2025,IDR,1,23400000,,
2025-01-07,SO.2025.01.00530,UM-BP-0125/00023,CUST-2025-26210,07/01/2025,IDR,1,24000000,,
2025-01-08,SO.2024.12.00988,UM-BP-0125/00030,CUST-2025-15932,08/01/2025,IDR,1,20000000,,
2025-01-09,SO.2025.01.00757,UM-BP-0125/00037,CUST-2025-13707,09/01/2025,IDR,1,5430000,,
2025-01-10,SO.2025.01.00842,UM-BP-0125/00041,CUST-2025-25978,10/01/2025,IDR,1,3470000,,
2025-01-11,SO.2025.01.01596,UM-BP-0125/00045,CUST-2025-25720,11/01/2025,IDR,1,45765000,,
2025-01-12,SO.2025.01.00550,UM-BP-0125/00046,CUST-2025-22876,12/01/2025,IDR,1,44645000,,
2025-01-13,SO.2025.01.01055,UM-BP-0125/00050,CUST-2025-17546,13/01/2025,IDR,1,2425000,,
2025-01-14,SO.2025.01.00691,UM-BP-0125/00057,CUST-2025-31089,14/01/2025,IDR,1,2345000,,
2025-01-15,SO.2025.01.01138,UM-BP-0125/00064,CUST-2025-03912,15/01/2025,IDR,1,29565000,,
2025-01-16,SO.2025.01.01341,UM-BP-0125/00072,CUST-2025-25944,16/01/2025,IDR,1,5330000,,
2025-01-17,SO.2025.01.01432,UM-BP-0125/00078,CUST-2025-24730,17/01/2025,IDR,1,25582500,,
2025-01-18,SO.2025.01.01524,UM-BP-0125/00082,CUST-2025-33202,18/01/2025,IDR,1,4205000,,
2025-01-20,SO.2025.01.01655,UM-BP-0125/00089,CUST-2025-01412,20/01/2025,IDR,1,6955000,,
2025-01-21,SO.2025.01.01798,UM-BP-0125/00096,CUST-2025-16973,21/01/2025,IDR,1,3049000,,
2025-01-22,SO.2025.01.01923,UM-BP-0125/00100,CUST-2025-04577,22/01/2025,IDR,1,16835000,,
2025-01-23,SO.2025.01.01960,UM-BP-0125/00103,CUST-2025-07003,23/01/2025,IDR,1,6715000,,
2025-01-24,SO.2025.01.02070,UM-BP-0125/00110,ANDREW IGNATIUS (SURABAYA),24/01/2025,IDR,1,22450000,,
2025-01-26,SO.2025.01.02070,UM-BP-0125/00111,ANDREW IGNATIUS (SURABAYA),26/01/2025,IDR,1,25950000,,
2025-01-27,SO.2025.01.02162,UM-BP-0125/00112,CUST-2025-03871,27/01/2025,IDR,1,7220000,,
2025-01-28,SO.2025.01.02220,UM-BP-0125/00117,CUST-2025-25847,28/01/2025,IDR,1,29035000,,
2025-01-29,SO.2025.01.02291,UM-BP-0125/00118,CUST-2025-05988,29/01/2025,IDR,1,10467300,,
2025-01-30,,UM-BP-0125/00126,ADYA ARTHA ABADI,30/01/2025,IDR,1,12964470,,
2025-01-31,SO.2025.01.02548,UM-BP-0125/00130,CUST-2025-30499,31/01/2025,IDR,1,10480000,,
