,Nomor SO,Nomor Dokumen,Customer,Date,Currency,Kurs,Received Amount,Cash/Bank,Catatan
2025-03-01,,UM-BP-0325/00297,CUST-2025-01403,01/03/2025,IDR,1,5612000,,
2025-03-03,SO.2025.03.00302,UM-BP-0325/00308,,03/03/2025,IDR,1,13145000,,
2025-03-04,SO.2025.03.00430,UM-BP-0325/00312,,04/03/2025,IDR,1,2850000,,
2025-03-05,SO.2025.03.00601,UM-BP-0325/00318,CUST-2025-36582,05/03/2025,IDR,1,2600000,,
2025-03-06,SO.2025.03.00656,UM-BP-0325/00327,,06/03/2025,IDR,1,3545000,,
2025-03-07,SO.2025.03.00610,UM-BP-0325/00336,,07/03/2025,IDR,1,8750000,,
2025-03-08,SO.2025.03.00069,UM-BP-0325/00344,,08/03/2025,IDR,1,19737500,,
2025-03-10,SO.2025.03.01331,UM-BP-0325/00354,CUST-2025-11666,10/03/2025,IDR,1,4650000,,
2025-03-11,,UM-BP-0325/00365,CUST-2025-34493,11/03/2025,IDR,1,3000000,,
2025-03-12,SO.2025.03.01512,UM-BP-0325/00375,CUST-2025-03701,12/03/2025,IDR,1,3115000,,
2025-03-13,,UM-BP-0325/00384,,13/03/2025,IDR,1,2905000,,
2025-03-14,,UM-BP-0325/00406,,14/03/2025,IDR,1,4405000,,
2025-03-15,,UM-BP-0325/00399,,15/03/2025,IDR,1,3559000,,
2025-03-16,,UM-BP-0325/00400,CUST-2025-25381,16/03/2025,IDR,1,23250000,,
2025-03-17,,UM-BP-0325/00405,CUST-2025-28158,17/03/2025,IDR,1,3420000,,
2025-03-18,,UM-BP-0325/00414,,18/03/2025,IDR,1,4375000,,
2025-03-19,,UM-BP-0325/00421,,19/03/2025,IDR,1,24680000,,
